0,0,3,1.0
1,3,4,0.5
2,3,5,1.3
3,6,3,1.1
4,3,7,1.25
5,3,8,1.2
6,3,9,1.3
7,3,10,1.4
8,3,11,1.4
9,3,12,1.4
10,3,13,1.55
11,3,14,1.5
12,3,15,2.0
13,3,17,2.1
14,3,19,2.1
15,2,15,2.0
16,15,1,2.0
17,15,4,1.45
18,15,5,1.35
19,15,6,1.2
20,15,7,1.2
21,15,8,1.4
22,15,9,1.05
23,15,10,1.0
24,15,11,1.1
25,15,12,1.15
26,15,13,0.55
27,15,14,0.5
28,15,16,0.5
29,15,19,1.0
30,15,18,1.0
31,15,20,1.0
32,1,7,1.45
33,4,7,1.15
34,4,13,1.35
35,6,14,1.1
36,7,9,0.5
37,7,10,1.1
38,7,13,1.1
39,7,14,1.1
40,17,19,0.45
41,17,20,0.55
